storm_id,storm_name,year,n_failed_lines,failed_line_share,n_unserved_buses,unserved_bus_share,affected_population_proxy,n_components_after_failure,rank
WP242017,KHANUN,2017,0,0.0,0,0.0,0.0,1,268
WP242020,ETAU,2020,0,0.0,0,0.0,0.0,1,269
WP242021,KOMPASU,2021,0,0.0,0,0.0,0.0,1,270
WP252003,NEPARTAK,2003,0,0.0,0,0.0,0.0,1,271
WP252005,UNNAMED,2005,0,0.0,0,0.0,0.0,1,272
WP252006,UTOR,2006,0,0.0,0,0.0,0.0,1,273
WP252012,UNNAMED,2012,0,0.0,0,0.0,0.0,1,274
WP252016,HAIMA,2016,0,0.0,0,0.0,0.0,1,275
WP252019,NAKRI,2019,0,0.0,0,0.0,0.0,1,276
WP252020,VAMCO,2020,0,0.0,0,0.0,0.0,1,277
WP252022,UNNAMED,2022,0,0.0,0,0.0,0.0,1,278
WP262008,NOUL,2008,0,0.0,0,0.0,0.0,1,279
WP262011,UNNAMED,2011,0,0.0,0,0.0,0.0,1,280
WP262012,BOPHA,2012,0,0.0,0,0.0,0.0,1,281
WP262017,UNNAMED,2017,0,0.0,0,0.0,0.0,1,282
WP262018,MANGKHUT,2018,0,0.0,0,0.0,0.0,1,283
WP262020,KROVANH,2020,0,0.0,0,0.0,0.0,1,284
WP262021,UNNAMED,2021,0,0.0,0,0.0,0.0,1,285
WP262022,NALGAE,2022,0,0.0,0,0.0,0.0,1,286
WP272001,LINGLING,2001,0,0.0,0,0.0,0.0,1,287
WP272003,UNNAMED,2003,0,0.0,0,0.0,0.0,1,288
WP272009,UNNAMED,2009,0,0.0,0,0.0,0.0,1,289
WP272011,WASHI,2011,0,0.0,0,0.0,0.0,1,290
WP272012,WUKONG,2012,0,0.0,0,0.0,0.0,1,291
WP272018,BARIJAT,2018,0,0.0,0,0.0,0.0,1,292
WP272019,KALMAEGI,2019,0,0.0,0,0.0,0.0,1,293
WP282001,UNNAMED,2001,0,0.0,0,0.0,0.0,1,294
WP282004,NOCK-TEN,2004,0,0.0,0,0.0,0.0,1,295
WP282015,MELOR,2015,0,0.0,0,0.0,0.0,1,296
WP282017,DAMREY,2017,0,0.0,0,0.0,0.0,1,297
WP282019,FUNG-WONG,2019,0,0.0,0,0.0,0.0,1,298
WP282021,RAI,2021,0,0.0,0,0.0,0.0,1,299
WP292001,UNNAMED,2001,0,0.0,0,0.0,0.0,1,300
WP292004,MUIFA,2004,0,0.0,0,0.0,0.0,1,301
WP292013,KROSA,2013,0,0.0,0,0.0,0.0,1,302
WP292016,TOKAGE,2016,0,0.0,0,0.0,0.0,1,303
WP292019,KAMMURI,2019,0,0.0,0,0.0,0.0,1,304
WP292022,PAKHAR,2022,0,0.0,0,0.0,0.0,1,305
WP302000,XANGSANE,2000,0,0.0,0,0.0,0.0,1,306
WP302001,KAJIKI,2001,0,0.0,0,0.0,0.0,1,307
WP302004,NANMADOL,2004,0,0.0,0,0.0,0.0,1,308
WP302013,UNNAMED,2013,0,0.0,0,0.0,0.0,1,309
WP302016,NOCK-TEN,2016,0,0.0,0,0.0,0.0,1,310
WP302017,HAIKUI,2017,0,0.0,0,0.0,0.0,1,311
WP302019,PHANFONE,2019,0,0.0,0,0.0,0.0,1,312
WP312000,BEBINCA,2000,0,0.0,0,0.0,0.0,1,313
WP312017,KIROGI,2017,0,0.0,0,0.0,0.0,1,314
WP312018,YUTU,2018,0,0.0,0,0.0,0.0,1,315
WP322000,UNNAMED,2000,0,0.0,0,0.0,0.0,1,316
WP322013,PODUL,2013,0,0.0,0,0.0,0.0,1,317
WP322017,KAI-TAK,2017,0,0.0,0,0.0,0.0,1,318
WP332000,RUMBIA,2000,0,0.0,0,0.0,0.0,1,319
WP332017,TEMBIN,2017,0,0.0,0,0.0,0.0,1,320
WP332018,USAGI,2018,0,0.0,0,0.0,0.0,1,321
WP342000,SOULIK,2000,0,0.0,0,0.0,0.0,1,322
WP352018,UNNAMED,2018,0,0.0,0,0.0,0.0,1,323
