storm_id,impact_score,max_hazard,mean_hazard,impacted_buses,year,storm_name
WP062018,0.0,0.0,0.0,0,2018,MALIKSI
WP052013,0.0,0.0,0.0,0,2013,BEBINCA
WP062002,0.0,0.0,0.0,0,2002,UNNAMED
WP062003,0.0,0.0,0.0,0,2003,NANGKA
WP062010,0.0,0.0,0.0,0,2010,MINDULLE
WP062009,0.0,0.0,0.0,0,2009,UNNAMED
WP062006,0.0,0.0,0.0,0,2006,KAEMI
WP052017,0.0,0.0,0.0,0,2017,NANMADOL
WP052020,0.0,0.0,0.0,0,2020,JANGMI
WP052012,0.0,0.0,0.0,0,2012,GUCHOL
WP232020,0.0,0.0,0.0,0,2020,ATSANI
WP052010,0.0,0.0,0.0,0,2010,DIANMU
WP052006,0.0,0.0,0.0,0,2006,BILIS
WP052005,0.0,0.0,0.0,0,2005,HAITANG
WP052001,0.0,0.0,0.0,0,2001,DURIAN
WP042019,0.0,0.0,0.0,0,2019,UNNAMED
WP042017,0.0,0.0,0.0,0,2017,MERBOK
WP042011,0.0,0.0,0.0,0,2011,SONGDA
WP042012,0.0,0.0,0.0,0,2012,MAWAR
WP042013,0.0,0.0,0.0,0,2013,LEEPI
WP062012,0.0,0.0,0.0,0,2012,TALIM
WP252012,0.0,0.0,0.0,0,2012,UNNAMED
WP032020,0.0,0.0,0.0,0,2020,HAGUPIT
WP032015,0.0,0.0,0.0,0,2015,BAVI
WP262017,0.0,0.0,0.0,0,2017,UNNAMED
WP252019,0.0,0.0,0.0,0,2019,NAKRI
WP262011,0.0,0.0,0.0,0,2011,UNNAMED
WP252022,0.0,0.0,0.0,0,2022,UNNAMED
WP042008,0.0,0.0,0.0,0,2008,MATMO
WP042006,0.0,0.0,0.0,0,2006,EWINIAR
WP042001,0.0,0.0,0.0,0,2001,CHEBI
WP042000,0.0,0.0,0.0,0,2000,UNNAMED
WP022017,0.0,0.0,0.0,0,2017,UNNAMED
WP022021,0.0,0.0,0.0,0,2021,SURIGAE
WP022023,0.0,0.0,0.0,0,2023,MAWAR
WP022016,0.0,0.0,0.0,0,2016,NEPARTAK
WP272018,0.0,0.0,0.0,0,2018,BARIJAT
WP282001,0.0,0.0,0.0,0,2001,UNNAMED
WP282004,0.0,0.0,0.0,0,2004,NOCK-TEN
WP282019,0.0,0.0,0.0,0,2019,FUNG-WONG
WP292001,0.0,0.0,0.0,0,2001,UNNAMED
WP292022,0.0,0.0,0.0,0,2022,PAKHAR
WP342000,0.0,0.0,0.0,0,2000,SOULIK
WP352018,0.0,0.0,0.0,0,2018,UNNAMED
